"Avengers: Endgame","BV",820817940,4662,"4/26/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Action / Adventure", 181, "PG-13", $356 million
"Captain Marvel ","BV",426273965,4310,"3/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_UY222_CR0,0,150,222_AL.jpg", "Action / Adventure", 128, "PG-13", N/A
"Aladdin (2019)","BV",214919926,4476,"5/24/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Fantasy", 128, "PG", $183 million
"Us","Uni.",175005930,3743,"3/22/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZTliNWJhM2YtNDc1MC00YTk1LWE2MGYtZmE4M2Y5ODdlNzQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UY222_CR0,0,150,222_AL.jpg", "Thriller", 116, "R", $20 million
"How to Train Your Dragon: The Hidden World","Uni.",160698705,4286,"2/22/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjIwMDIwNjAyOF5BMl5BanBnXkFtZTgwNDE1MDc2NTM@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 104, "PG", $129 million
"Shazam!","WB (NL)",139364530,4306,"4/5/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYTE0Yjc1NzUtMjFjMC00Y2I3LTg3NGYtNGRlMGJhYThjMTJmXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UY222_CR0,0,150,222_AL.jpg", "Action", 132, "PG-13", $100 million
"Pokemon Detective Pikachu","WB",135256719,4248,"5/10/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Family", 100, "PG", $150 million
"John Wick: Chapter 3 - Parabellum","LG/S",133192998,3850,"5/17/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMDg2YzI0ODctYjliMy00NTU0LTkxODYtYTNkNjQwMzVmOTcxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Action", 130, "R", N/A
"Dumbo (2019)","BV",113718182,4259,"3/29/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNjMxMDE0MDI1Ml5BMl5BanBnXkFtZTgwMzExNTU3NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Adventure", 115, "PG", $170 million
"Glass","Uni.",111035005,3844,"1/18/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTY1OTA2MjI5OV5BMl5BanBnXkFtZTgwNzkxMjU4NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Thriller", 129, "PG-13", $20 million
"The Upside","STX",108252517,3568,"1/11/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNzY3NzYyNjI0N15BMl5BanBnXkFtZTgwNjYzMDc0NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 118, "PG-13", $37.5 million
"The LEGO Movie 2: The Second Part","WB",105806508,4303,"2/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTkyOTkwNDc1N15BMl5BanBnXkFtZTgwNzkyMzk3NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 106, "PG", N/A
"Alita: Battle Angel","Fox",85710210,3802,"2/14/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNzVhMjcxYjYtOTVhOS00MzQ1LWFiNTAtZmY2ZmJjNjIxMjllXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Action / Adventure", 122, "PG-13", $170 million
"Tyler Perry's A Madea Family Funeral","LGF",73257045,2442,"3/1/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYTExYTc3YTMtMDY2YS00YTFhLTgwODEtNWQ2MmMzOGZhNTU5XkEyXkFqcGdeQXVyNDExODY2MjU@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 109, "PG-13", N/A
"Godzilla: King of the Monsters","WB",67257097,4108,"5/31/2019", 2019, "https://m.media-amazon.com/images/M/MV5BOGFjYWNkMTMtMTg1ZC00Y2I4LTg0ZTYtN2ZlMzI4MGQwNzg4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY222_CR0,0,150,222_AL.jpg", "Sci-Fi Action", 132, "PG-13", $170 million
"Escape Room","Sony",57005601,2717,"1/4/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjQ2NDMwMTY3MF5BMl5BanBnXkFtZTgwNDg5OTc1NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Thriller", 100, "PG-13", $9 million
"Pet Sematary (2019)","Par.",54724696,3585,"4/5/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjUyNjg1ODIwMl5BMl5BanBnXkFtZTgwNjMyOTYzNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Horror", 101, "R", $21 million
"What Men Want","Par.",54611903,2912,"2/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTYxNjE2NjIwOF5BMl5BanBnXkFtZTgwMjE0MzkxNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 117, "R", $20 million
"The Curse of La Llorona ","WB (NL)",54340553,3372,"4/19/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNjU4NjU4ZDktOTg2Ny00MWI2LThiMTAtMGFkZGE1MWI5MzhjXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Horror", 93, "R", $9 million
"Isn't It Romantic","WB (NL)",48791187,3444,"2/13/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZGE1NGYxOWItODdmMy00NWNhLTgxZmMtYmVjYmViMGI0NTdmXkEyXkFqcGdeQXVyNzE2MTQyMzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 88, "PG-13", N/A
"Five Feet Apart","LGF",45729221,2866,"3/15/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNzVmMjJlN2MtNWQ4Ny00Zjc2LWJjYTgtYjJiNGM5MTM1ZTlkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY222_CR0,0,150,222_AL.jpg", "Romance", 116, "PG-13", N/A
"Wonder Park","Par.",45216793,3838,"3/15/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjI5MTQ5NzE4Nl5BMl5BanBnXkFtZTgwNTk2MDA5NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 86, "PG", N/A
"A Dog's Way Home","Sony",42004346,3090,"1/11/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTg5MjcwMzY5OV5BMl5BanBnXkFtZTgwMDM0OTI1NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Family Adventure", 96, "PG", $18 million
"Little","Uni.",40673960,2667,"4/12/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTU2NDYwNzkzMV5BMl5BanBnXkFtZTgwNjAyMjMxNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 109, "PG-13", $20 million
"Breakthrough","Fox",40376835,2913,"4/17/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTU2ODk2ODEzMV5BMl5BanBnXkFtZTgwMzk1OTk4NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 116, "PG", $14 million
"Rocketman","Par.",40258756,3610,"5/31/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTY0MzUwODc4N15BMl5BanBnXkFtZTgwMjMyMjY0NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Musical", 121, "R", $40 million
"The Intruder (2019) ","SGem",34636180,2231,"5/3/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMzg1ZjcxNjgtMTliNC00NzU3LWE3NGMtZTBjMWFmYzk4OWE0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY222_CR0,0,150,222_AL.jpg", "Thriller", 102, "PG-13", $8 million
"The Hustle","UAR",34013355,3077,"5/10/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTc3MDcyNzE5N15BMl5BanBnXkFtZTgwNzE2MDE0NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 94, "PG-13", N/A
"Cold Pursuit","LG/S",32138862,2630,"2/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BM2YyYWI3NjItMWEwZS00MzhkLWJmZTMtZDAzYjRhODM0OTMzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY222_CR0,0,150,222_AL.jpg", "Action Drama", 118, "R", N/A
"Dragon Ball Super: Broly","FUN",30712119,1267,"1/16/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYjc1YWQ5NWEtODYwYy00ZTkxLTg4YzEtMWEzNGM1N2YzOGQ2XkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 100, "PG", N/A
"Long Shot","LG/S",30066456,3230,"5/3/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMmE4Mzk0OWQtMDI1OS00NDU3LWI2M2YtNzc1MGMxZGI3ZTE1XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 125, "R", N/A
"Happy Death Day 2U","Uni.",28051045,3212,"2/13/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTg0NzkwMzQyMV5BMl5BanBnXkFtZTgwNDcxMTMyNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Horror", 100, "PG-13", $9 million
"Ma (2019)","Uni.",27238075,2816,"5/31/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYmU5NzI1MGQtMWRjYi00ZGM2LTkwZDEtNzRlY2YwNjllMWIwXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Thriller", 99, "R", $5 million
"Fighting with My Family","MGM",22958583,2855,"2/14/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjQ3MTk4Nzc1M15BMl5BanBnXkFtZTgwMTEwMDU5NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy / Drama", 107, "PG-13", N/A
"Hellboy (2019)","LG/S",21903748,3303,"4/12/2019", 2019, "https://m.media-amazon.com/images/M/MV5BODdkMDQzMzItZDc4YS00OGM4LTkxNTQtNjUzNzU0ZmJkMWY2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UY222_CR0,0,150,222_AL.jpg", "Action", 121, "R", $50 million
"A Dog's Journey","Uni.",20070820,3279,"5/17/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYjRhMWY0ODMtMmM3OC00ZGRmLWIyZjktZGQ0ZGE4MzcyZWE5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 109, "PG", N/A
"Uglydolls","STX",19724518,3652,"5/3/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTc0NjE2ODM2OV5BMl5BanBnXkFtZTgwMjQyNDUzNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 87, "PG", $45 million
"Unplanned","PFR",18104089,1516,"3/29/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZjBiZjEwNDUtNGIzOS00NTI3LWI5OGMtZDZjMjZhZGNhZDhkXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 110, "R", $6 million
"The Secret Life of Pets 2","Uni.",17425000,4561,"6/7/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMzdlMWQzZmItMDA5Ny00MGFjLTk0MDAtYjgzMmMyNTEwMzdhXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 86, "PG", $80 million
"The Kid Who Would be King","Fox",16790790,3528,"1/25/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYzE1Y2NmYzQtMTg3Yi00YTI4LWEwMTgtNDVmOGZlY2U2MjEwXkEyXkFqcGdeQXVyNjIxMTQ4OTc@._V1_UY222_CR0,0,150,222_AL.jpg", "Fantasy", 120, "PG", N/A
"Booksmart","UAR",16688789,2518,"5/24/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjEzMjcxNjA2Nl5BMl5BanBnXkFtZTgwMjAxMDM2NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 105, "R", N/A
"Missing Link","UAR",16612659,3437,"4/12/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMWFmNWZmZWYtMWM3OC00YTYyLWIxNDMtOTRjNzhiYWQ0MDIwXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 95, "PG", N/A
"Brightburn","SGem",15986396,2607,"5/24/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjc0YzM2ZjItNzE3OS00NTRhLTkyNTUtMjY5Y2Y5NTU3OWI0XkEyXkFqcGdeQXVyNjU2NTI4MjE@._V1_UY222_CR0,0,150,222_AL.jpg", "Horror", 90, "R", $6 million
"Miss Bala","Sony",15006824,2203,"2/1/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTcxNzY3Mzk5OF5BMl5BanBnXkFtZTgwNjQwODU1NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Action Thriller", 104, "PG-13", $15 million
"The Prodigy","Orion",14856291,2530,"2/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYTQxNTMwMmUtMWRkYi00MTRmLTgyYWItYTYwNGZkMWZmMzQ2XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY222_CR0,0,150,222_AL.jpg", "Horror", 92, "R", $6 million
"Dark Phoenix","Fox",14000000,3721,"6/7/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjAwNDgxNTI0M15BMl5BanBnXkFtZTgwNTY4MDI1NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Action", 114, "PG-13", N/A
"Poms","STX",13397635,2750,"5/10/2019", 2019, "", "Comedy", 90, "PG-13", N/A
"After (2019)","Aviron",12138565,2138,"4/12/2019", 2019, "https://m.media-amazon.com/images/M/MV5BOGUwMjk3YzktNDI0Yy00MzFiLWFjNmEtYTA2ODVjMzNhODhjXkEyXkFqcGdeQXVyOTQ1MDI4MzY@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 106, "PG-13", $14 million
"Greta","Focus",10519425,2417,"3/1/2019", 2019, "https://m.media-amazon.com/images/M/MV5BOTg0OTVjYjUtOWUzYS00YjJjLWI3NWItMmVjNTBlMTE2ODJlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama / Thriller", 98, "R", N/A
"The Best of Enemies","STX",10205616,1705,"4/5/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjQ5MjA2NDkyM15BMl5BanBnXkFtZTgwNTIwNjUzNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 133, "PG-13", $10 million
"Hotel Mumbai","BST",9651611,930,"3/22/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYTJlZWY2YjYtZGIxMy00MDEwLTliNzMtZGM3MDQ1NzlmNDY1XkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 125, "R", N/A
"No Manches Frida 2","PNT",9270920,472,"3/15/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYTc3OWE4OTEtMWY4ZS00YTRjLWFjOWUtZGUxZjFhNzRlMzRlXkEyXkFqcGdeQXVyMjMxNzM1Mzk@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 102, "R", N/A
"Apollo 11","Neon",8767968,588,"3/1/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTYyMzEzNjI4M15BMl5BanBnXkFtZTgwODgxOTgyNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Documentary", 93, "G", N/A
